iso,year,rank_eci,growth_proj_annual_2024,rank_growth,name
JPN,2004,1,3.69,47,Japan
DEU,2004,2,1.38,118,Germany
CHE,2004,4,3.54,53,Switzerland
KOR,2004,15,3.6,51,South Korea
SWE,2004,3,3.92,38,Sweden
AUT,2004,6,2.95,87,Austria
CZE,2004,10,3.75,45,Czech Republic
FIN,2004,5,3.84,43,Finland
HUN,2004,18,3.53,56,Hungary
GBR,2004,7,3.63,50,United Kingdom
SVN,2004,9,3.78,44,Slovenia
SVK,2004,16,3.84,42,Slovakia
USA,2004,8,2.94,89,United States
ITA,2004,14,2.59,99,Italy
IRL,2004,11,3.39,60,Ireland
FRA,2004,12,3.13,72,France
CHN,2004,33,5.2,12,China
DNK,2004,13,3.09,79,Denmark
BEL,2004,17,3.14,71,Belgium
MEX,2004,21,4.68,22,Mexico
ISR,2004,24,4.4,30,Israel
NLD,2004,19,3.03,82,Netherlands
EST,2004,31,3.03,81,Estonia
THA,2004,37,4.5,24,Thailand
POL,2004,23,3.85,41,Poland
MYS,2004,26,4.73,20,Malaysia
ESP,2004,20,3.59,52,Spain
BLR,2004,22,4.04,34,Belarus
HRV,2004,28,3.11,76,Croatia
NOR,2004,25,1.92,115,Norway
LTU,2004,40,2.41,103,Lithuania
LVA,2004,34,2.8,95,Latvia
PRT,2004,32,2.84,94,Portugal
BIH,2004,36,3.1,77,Bosnia and Herzegovina
BGR,2004,42,3.22,69,Bulgaria
CAN,2004,27,3.26,66,Canada
PHL,2004,67,4.43,28,Philippines
TUR,2004,46,4.45,27,Turkey
UKR,2004,30,3.92,37,Ukraine
IND,2004,47,7.15,1,India
GRC,2004,44,2.64,98,Greece
TUN,2004,66,3.28,65,Tunisia
JOR,2004,50,4.75,18,Jordan
NZL,2004,43,2.7,97,New Zealand
RUS,2004,29,3.03,83,Russia
URY,2004,49,2.85,93,Uruguay
SLV,2004,63,3.12,74,El Salvador
CRI,2004,57,3.23,68,Costa Rica
BRA,2004,41,4.42,29,Brazil
ZAF,2004,45,3.86,40,South Africa
IDN,2004,60,5.23,11,Indonesia
LBN,2004,48,3.68,48,Lebanon
VNM,2004,91,4.25,32,Vietnam
MDA,2004,56,2.9,92,Moldova
MUS,2004,64,2.25,107,Mauritius
EGY,2004,72,5.0,14,Egypt
GEO,2004,53,2.24,109,Georgia
COL,2004,54,3.97,35,Colombia
ARG,2004,52,3.51,58,Argentina
DOM,2004,70,3.15,70,Dominican Republic
ARE,2004,69,1.93,114,United Arab Emirates
MKD,2004,68,2.22,111,Macedonia
JAM,2004,74,1.68,116,Jamaica
CHL,2004,61,2.32,105,Chile
GTM,2004,76,4.89,17,Guatemala
LKA,2004,90,3.29,64,Sri Lanka
OMN,2004,73,2.1,112,Oman
KWT,2004,51,2.25,108,Kuwait
SAU,2004,39,3.54,54,Saudi Arabia
HND,2004,92,3.95,36,Honduras
SEN,2004,71,5.86,5,Senegal
PRY,2004,85,3.65,49,Paraguay
MAR,2004,84,2.98,84,Morocco
CUB,2004,77,1.36,119,Cuba
KAZ,2004,65,2.96,85,Kazakhstan
AUS,2004,58,2.32,106,Australia
KHM,2004,115,3.12,73,Cambodia
ALB,2004,62,2.92,90,Albania
ZMB,2004,102,5.27,10,Zambia
KGZ,2004,78,4.74,19,Kyrgyzstan
UZB,2004,87,3.88,39,Uzbekistan
KEN,2004,82,6.32,2,Kenya
CMR,2004,117,3.33,63,Cameroon
TTO,2004,55,1.25,120,Trinidad and Tobago
PAK,2004,99,4.68,21,Pakistan
QAT,2004,35,2.58,100,Qatar
PER,2004,86,2.94,88,Peru
NAM,2004,75,3.35,62,Namibia
BWA,2004,97,1.51,117,Botswana
ZWE,2004,79,5.49,8,Zimbabwe
NIC,2004,103,3.12,75,Nicaragua
UGA,2004,101,6.11,3,Uganda
CIV,2004,98,4.33,31,Ivory Coast
IRN,2004,95,2.23,110,Iran
BGD,2004,116,3.1,78,Bangladesh
MDG,2004,114,5.41,9,Madagascar
TZA,2004,110,6.11,4,Tanzania
TKM,2004,105,2.46,102,Turkmenistan
ECU,2004,106,2.09,113,Ecuador
VEN,2004,59,2.96,86,Venezuela
TJK,2004,100,4.19,33,Tajikistan
MOZ,2004,111,4.63,23,Mozambique
BOL,2004,96,3.7,46,Bolivia
LAO,2004,109,3.51,57,Laos
GAB,2004,83,2.52,101,Gabon
AZE,2004,80,3.25,67,Azerbaijan
ETH,2004,113,4.98,16,Ethiopia
DZA,2004,94,2.34,104,Algeria
GHA,2004,93,4.99,15,Ghana
MNG,2004,108,3.04,80,Mongolia
MWI,2004,118,5.72,7,Malawi
PNG,2004,120,3.39,59,Papua New Guinea
COG,2004,119,2.9,91,Republic of the Congo
MLI,2004,89,5.84,6,Mali
LBY,2004,104,1.15,121,Libya
MRT,2004,121,3.53,55,Mauritania
YEM,2004,112,4.48,25,Yemen
GIN,2004,107,5.07,13,Guinea
NGA,2004,122,2.73,96,Nigeria
AGO,2004,88,4.46,26,Angola
JPN,2005,1,3.37,61,Japan
DEU,2005,2,0.99,121,Germany
CHE,2005,3,3.38,60,Switzerland
KOR,2005,9,3.78,38,South Korea
SWE,2005,4,3.58,48,Sweden
AUT,2005,6,2.58,96,Austria
CZE,2005,10,3.41,58,Czech Republic
FIN,2005,5,3.57,49,Finland
HUN,2005,15,3.45,54,Hungary
GBR,2005,7,3.43,57,United Kingdom
SVN,2005,12,3.45,55,Slovenia
SVK,2005,17,3.67,44,Slovakia
USA,2005,8,2.54,97,United States
ITA,2005,16,2.41,101,Italy
IRL,2005,13,3.29,64,Ireland
FRA,2005,11,2.8,91,France
CHN,2005,37,5.1,12,China
DNK,2005,14,2.95,85,Denmark
BEL,2005,18,3.01,81,Belgium
MEX,2005,19,4.65,19,Mexico
ISR,2005,23,4.39,26,Israel
NLD,2005,20,2.86,87,Netherlands
EST,2005,28,3.17,71,Estonia
THA,2005,39,4.48,25,Thailand
POL,2005,24,3.72,41,Poland
MYS,2005,27,4.64,20,Malaysia
ESP,2005,22,3.48,52,Spain
BLR,2005,21,3.96,34,Belarus
HRV,2005,26,3.1,73,Croatia
NOR,2005,29,1.49,117,Norway
LTU,2005,33,3.01,80,Lithuania
LVA,2005,31,2.98,83,Latvia
PRT,2005,32,2.75,94,Portugal
BIH,2005,40,3.12,72,Bosnia and Herzegovina
BGR,2005,41,3.24,66,Bulgaria
CAN,2005,25,3.23,69,Canada
PHL,2005,55,4.83,16,Philippines
TUR,2005,43,4.56,24,Turkey
UKR,2005,35,3.78,39,Ukraine
IND,2005,48,6.99,1,India
GRC,2005,46,2.76,92,Greece
TUN,2005,61,3.55,50,Tunisia
JOR,2005,53,4.63,21,Jordan
NZL,2005,42,2.62,95,New Zealand
RUS,2005,34,2.85,88,Russia
URY,2005,47,3.02,79,Uruguay
SLV,2005,73,2.82,90,El Salvador
CRI,2005,58,3.28,65,Costa Rica
BRA,2005,38,4.6,22,Brazil
ZAF,2005,44,3.8,37,South Africa
IDN,2005,59,5.2,9,Indonesia
LBN,2005,45,4.05,33,Lebanon
VNM,2005,88,4.16,32,Vietnam
MDA,2005,56,2.99,82,Moldova
MUS,2005,68,2.12,109,Mauritius
EGY,2005,67,5.18,11,Egypt
GEO,2005,52,2.46,100,Georgia
COL,2005,57,3.88,36,Colombia
ARG,2005,50,3.71,42,Argentina
DOM,2005,69,3.23,68,Dominican Republic
ARE,2005,74,1.73,113,United Arab Emirates
MKD,2005,65,2.4,102,Macedonia
JAM,2005,77,1.58,115,Jamaica
CHL,2005,64,2.17,108,Chile
GTM,2005,79,5.08,14,Guatemala
LKA,2005,82,3.49,51,Sri Lanka
OMN,2005,66,2.22,106,Oman
KWT,2005,49,2.36,104,Kuwait
SAU,2005,51,3.03,77,Saudi Arabia
HND,2005,97,3.73,40,Honduras
SEN,2005,71,5.98,5,Senegal
PRY,2005,87,3.68,43,Paraguay
